system:index,Forest Loss Total,year,.geo
0,1.4546891493781617E8,2001.0,
1,2.3874612799454877E8,2002.0,
2,2.2974995179406977E8,2003.0,
3,3.369705289541137E8,2004.0,
4,6.276032471948645E8,2005.0,
5,3.255994670852733E8,2006.0,
6,5.2147124231471294E8,2007.0,
7,4.2943769815675616E8,2008.0,
8,4.488825541756263E8,2009.0,
9,6.744896604953542E8,2010.0,
10,5.511146811181468E8,2011.0,
11,5.34171542916327E8,2012.0,
12,3.357035205080598E8,2013.0,
13,5.3135472508368826E8,2014.0,
14,4.084617877247329E8,2015.0,
15,7.924787468217522E8,2016.0,
16,8.364005212961923E8,2017.0,
17,6.421285401150826E8,2018.0,
18,7.131021258769853E8,2019.0,
