system:index,Forest Loss Total,year,.geo
0,6.26503442051996E7,2001.0,
1,9.28527832320789E7,2002.0,
2,8.5081879006253E7,2003.0,
3,1.262875346332448E8,2004.0,
4,1.986168200110361E8,2005.0,
5,1.7150743518167955E8,2006.0,
6,1.5815367111157143E8,2007.0,
7,1.507550298863606E8,2008.0,
8,1.430976398290269E8,2009.0,
9,2.154180293788456E8,2010.0,
10,1.2883647412994576E8,2011.0,
11,1.7526962801479122E8,2012.0,
12,1.3856484290813255E8,2013.0,
13,1.587503890685799E8,2014.0,
14,1.5738338536491972E8,2015.0,
15,2.5258013723615593E8,2016.0,
16,2.5609128669392833E8,2017.0,
17,1.966702421069289E8,2018.0,
18,2.418719729824294E8,2019.0,
